,eventIdx,game_id,Game Seconds,Game Period,X-Coordinate,Y-Coordinate,Shot Distance,Shot Angle,Shot Type,Was Net Empty,Last Event Type,Last X-Coordinate,Last Y-Coordinate,Time from Last Event (seconds),Distance from Last Event,Is Rebound,Change in Shot Angle,Speed,Is Goal
202182,11,2017021065,111,1,-50,36,53.0754180388624,47.29061004263853,3,0,0,72,37,11,122.00409829181967,False,0.0,11.0912816628927,0
202183,12,2017021065,115,1,-85,-25,25.317977802344327,170.90972307917767,0,0,5,-50,36,4,70.32780389006896,True,123.61911303653916,17.58195097251724,0
202184,16,2017021065,124,1,73,-16,22.62741699796952,45.0,1,0,2,-39,-28,1,112.64102272262978,False,0.0,112.64102272262978,0
202185,20,2017021065,151,1,-29,-6,60.29925372672534,95.71059313749964,2,0,0,10,38,5,58.7962583843564,False,0.0,11.75925167687128,0
202186,21,2017021065,159,1,23,-34,74.24284477308234,62.74467162505693,0,0,5,-29,-6,8,59.0592922409336,True,-32.96592151244271,7.3824115301167,0
202187,28,2017021065,203,1,-51,-20,42.941821107167776,117.75854060106002,2,0,1,-69,-22,5,18.110770276274835,False,0.0,3.622154055254967,0
202188,31,2017021065,241,1,-59,19,35.510561809129406,57.65255650055798,2,0,1,-69,-22,8,42.20189569201838,False,0.0,5.275236961502298,0
202189,33,2017021065,254,1,-84,-10,11.180339887498947,153.434948822922,0,0,3,-78,-8,2,6.324555320336759,False,0.0,3.1622776601683795,0
202190,45,2017021065,333,1,77,-3,12.36931687685298,75.96375653207353,0,0,4,16,-30,3,66.70832032063167,False,0.0,22.23610677354389,1
202191,50,2017021065,421,1,55,24,41.617304093369626,125.2175929681927,2,0,1,-69,22,76,124.01612798341996,False,0.0,1.6317911576765785,0
202192,57,2017021065,495,1,-29,-35,69.46221994724903,120.25643716352926,1,0,0,32,38,17,95.13148795220224,False,0.0,5.595969879541308,0
202193,83,2017021065,830,1,40,7,49.49747468305833,98.13010235415597,2,0,1,69,22,4,32.64965543462902,False,0.0,8.162413858657255,0
202194,84,2017021065,847,1,66,1,23.021728866442675,92.48955292199916,0,0,5,40,7,17,26.68332812825267,True,-5.640549432156817,1.5696075369560394,0
202195,86,2017021065,860,1,-78,-22,24.596747752497688,153.434948822922,0,0,3,54,-8,5,132.74034804836094,False,0.0,26.54806960967219,0
202196,100,2017021065,983,1,89,17,17.0,180.0,0,0,4,81,-36,11,53.60037313302959,False,0.0,4.8727611939117805,0
202197,107,2017021065,1065,1,-71,12,21.633307652783937,56.309932474020215,0,0,3,-67,6,21,7.211102550927978,False,0.0,0.3433858357584751,0
202198,109,2017021065,1104,1,-52,-21,42.5440947723653,119.57783868126134,2,0,2,-29,1,15,31.827660925679098,False,0.0,2.12184406171194,0
202199,113,2017021065,1148,1,-84,30,175.58188972670274,99.83785096603324,0,0,3,-62,-19,9,53.71219600798314,False,0.0,5.968021778664793,0
202200,118,2017021065,1191,1,-33,-26,61.74139616173253,114.90476880809518,0,0,3,-79,-8,9,49.39635614091387,False,0.0,5.488484015657097,0
